procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EST
 3  0      0  25511     61   5860    0    0     0    72 38249 32617 21  6 72  0  0 2018-12-21 03:25:34
 3  0      0  25480     61   5860    0    0     0     0 43807 37623 25  6 68  0  0 2018-12-21 03:25:35
 3  0      0  25507     61   5860    0    0     0    76 39202 33567 22  7 71  0  0 2018-12-21 03:25:36
 4  0      0  25490     61   5860    0    0     0    72 44095 37894 25  6 69  0  0 2018-12-21 03:25:37
 5  0      0  25499     61   5860    0    0     0     0 45397 38486 25  7 68  0  0 2018-12-21 03:25:38
 3  0      0  25504     61   5860    0    0     0    72 42136 36269 24  7 70  0  0 2018-12-21 03:25:39
 6  0      0  25491     61   5860    0    0     0     0 43022 37616 24  7 69  0  0 2018-12-21 03:25:40
 4  0      0  25507     61   5861    0    0     0    72 45523 38748 25  7 68  0  0 2018-12-21 03:25:41
 6  0      0  25479     61   5860    0    0     0     0 42240 36312 23  7 70  0  0 2018-12-21 03:25:42
 3  0      0  25510     61   5860    0    0     0    72 38401 33401 22  6 72  0  0 2018-12-21 03:25:43
 4  0      0  25487     61   5860    0    0     0    72 41635 36413 24  6 70  0  0 2018-12-21 03:25:44
 2  0      0  25501     61   5860    0    0     0  2024 45069 39988 25  7 68  0  0 2018-12-21 03:25:45
 4  0      0  25506     61   5860    0    0     0    76 43182 36820 25  6 69  0  0 2018-12-21 03:25:46
 4  0      0  25496     61   5860    0    0     0     0 43663 38105 25  7 68  0  0 2018-12-21 03:25:47
 3  0      0  25509     61   5860    0    0     0    68 43577 38295 25  7 68  0  0 2018-12-21 03:25:48
 3  0      0  25481     61   5860    0    0     0     0 43198 37888 25  6 69  0  0 2018-12-21 03:25:49
 3  0      0  25499     61   5860    0    0     0    76 44710 38786 26  6 68  0  0 2018-12-21 03:25:50
 6  0      0  25494     61   5860    0    0     0    84 42273 36384 24  7 69  0  0 2018-12-21 03:25:51
 4  0      0  25492     61   5860    0    0     0     0 43632 38613 26  6 68  0  0 2018-12-21 03:25:52
 5  0      0  25509     61   5860    0    0     0    72 43039 37049 25  7 68  0  0 2018-12-21 03:25:53
 3  0      0  25482     61   5860    0    0     0     0 43882 42775 27  7 66  0  0 2018-12-21 03:25:54
 1  0      0  25500     61   5860    0    0     0    84 43954 38179 25  7 68  0  0 2018-12-21 03:25:55
 4  0      0  25486     61   5860    0    0     0    72 36150 30751 21  5 73  0  0 2018-12-21 03:25:56
 1  0      0  25497     61   5860    0    0     0     0 45429 38760 26  7 67  0  0 2018-12-21 03:25:57
 4  0      0  25509     61   5860    0    0     0    72 41717 34919 24  6 70  0  0 2018-12-21 03:25:58
 5  0      0  25482     61   5860    0    0     0     0 44868 38653 26  7 67  0  0 2018-12-21 03:25:59
 4  0      0  25508     61   5861    0    0     0    72 44642 38289 26  7 67  0  0 2018-12-21 03:26:00
 3  0      0  25483     61   5860    0    0     0    76 43499 37106 25  7 68  0  0 2018-12-21 03:26:01
 6  0      0  25493     61   5860    0    0     0     0 45329 38143 26  7 67  0  0 2018-12-21 03:26:02
 4  0      0  25508     61   5861    0    0     0    76 43447 36686 24  7 68  0  0 2018-12-21 03:26:03
 4  0      0  25484     61   5860    0    0     0     0 44704 38257 26  6 68  0  0 2018-12-21 03:26:04
 0  0      0  25505     61   5860    0    0     0    72 43296 37564 25  7 68  0  0 2018-12-21 03:26:05
 4  0      0  25477     61   5860    0    0     0    76 42271 35929 25  6 69  0  0 2018-12-21 03:26:06
 6  0      0  25495     61   5861    0    0     0     0 45816 38350 26  8 67  0  0 2018-12-21 03:26:07
 5  0      0  25500     61   5861    0    0     0    80 42431 36168 25  6 69  0  0 2018-12-21 03:26:08
 2  0      0  25492     61   5861    0    0     0     0 43811 37686 26  6 68  0  0 2018-12-21 03:26:09
 3  0      0  25507     61   5861    0    0     0    80 44147 37840 25  7 68  0  0 2018-12-21 03:26:10
 4  0      0  25479     61   5861    0    0     0     0 42684 37252 24  6 70  0  0 2018-12-21 03:26:11
 4  0      0  25506     61   5861    0    0     0    76 44401 38433 24  7 69  0  0 2018-12-21 03:26:12
 4  0      0  25486     61   5861    0    0     0    76 42656 37234 24  7 69  0  0 2018-12-21 03:26:13
 2  0      0  25495     61   5861    0    0     0     0 45341 39300 25  7 68  0  0 2018-12-21 03:26:14
 3  0      0  25514     61   5861    0    0     0    72 42239 36597 24  6 70  0  0 2018-12-21 03:26:15
 5  0      0  25485     61   5861    0    0     0     0 43139 37815 25  7 68  0  0 2018-12-21 03:26:16
 3  0      0  25512     61   5861    0    0     0    76 37813 32726 21  6 72  0  0 2018-12-21 03:26:17
 6  0      0  25486     61   5861    0    0     0     0 43267 37267 25  6 69  0  0 2018-12-21 03:26:18
 5  0      0  25507     61   5861    0    0     0    72 43820 37715 25  6 69  0  0 2018-12-21 03:26:19
 2  0      0  25501     61   5861    0    0     0     0 45116 38070 25  7 68  0  0 2018-12-21 03:26:20
 6  0      0  25495     61   5861    0    0     0  2216 43120 37167 26  6 68  0  0 2018-12-21 03:26:21
 6  0      0  25517     61   5861    0    0     0    72 39174 33361 22  6 71  0  0 2018-12-21 03:26:22
 5  0      0  25484     61   5861    0    0     0     0 42820 37908 25  7 69  0  0 2018-12-21 03:26:23
 3  0      0  25512     61   5861    0    0     0    76 45043 39204 25  7 69  0  0 2018-12-21 03:26:24
 4  0      0  25485     61   5861    0    0     0    72 42492 36727 24  6 69  0  0 2018-12-21 03:26:25
 3  0      0  25501     61   5861    0    0     0     0 43831 38531 25  8 68  0  0 2018-12-21 03:26:26
 3  0      0  25499     61   5861    0    0     0    76 43106 36687 24  7 70  0  0 2018-12-21 03:26:27
 4  0      0  25493     61   5861    0    0     0     0 43270 38427 25  7 69  0  0 2018-12-21 03:26:28
 6  0      0  25514     61   5861    0    0     0    72 42183 37876 24  6 69  0  0 2018-12-21 03:26:29
 3  0      0  25484     61   5861    0    0     0     0 43755 39582 25  7 68  0  0 2018-12-21 03:26:30
 2  0      0  25511     61   5861    0    0     0    72 36662 31673 22  5 73  0  0 2018-12-21 03:26:31
 0  1      0  25482     61   5861    0    0     0    76 42072 37131 23  7 70  0  0 2018-12-21 03:26:32
 6  0      0  25502     61   5861    0    0     0     0 44858 39175 25  7 68  0  0 2018-12-21 03:26:33
 4  0      0  25500     61   5861    0    0     0    68 43749 37745 25  6 69  0  0 2018-12-21 03:26:34
 5  0      0  25495     61   5861    0    0     0     0 43362 37750 25  6 69  0  0 2018-12-21 03:26:35
 3  0      0  25515     61   5861    0    0     0    72 36497 31578 20  6 74  0  0 2018-12-21 03:26:36
 4  0      0  25484     61   5861    0    0     0     0 43018 37716 25  6 69  0  0 2018-12-21 03:26:37
 0  0      0  25510     61   5861    0    0     0    76 44242 38102 26  6 68  0  0 2018-12-21 03:26:38
 0  0      0  25489     61   5861    0    0     0    72 41732 35835 24  6 70  0  0 2018-12-21 03:26:39
